list_id;list_name;parliament_id;district_id;list_level;list_number;party_id;list_length;list_votes_total_[source];list_type
CH_NT-NR_1947__CH_NT-NR_1947__Schwyz__Sozialdemokratisch-gewerkschaftliche-Liste;Sozialdemokratisch-gewerkschaftliche-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Schwyz;CH_SZ;2;CH_SP|PS_RE-SZ;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Schwyz__Konservative-Volkspartei;Konservative-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Schwyz;CH_SZ;3;CH_CVP|PDC_RE-SZ;2;;
CH_NT-NR_1947__CH_NT-NR_1947__Schwyz__Bauernvereinigung;Bauernvereinigung;CH_NT-NR_1947;CH_NT-NR_1947__Schwyz;CH_SZ;4;CH_SVP|UDC_RE-SZ;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Schwyz__Liberale-und-jungliberale-Volkspartei;Liberale-und-jungliberale-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Schwyz;CH_SZ;5;CH_FDP_RE-SZ;3;;
CH_NT-NR_1947__CH_NT-NR_1947__Obwalden__NA_OW_1;NA_OW_1;CH_NT-NR_1947;CH_NT-NR_1947__Obwalden;CH_OW;1;CH_none_RE-OW;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Nidwalden__NA_NW_1;NA_NW_1;CH_NT-NR_1947;CH_NT-NR_1947__Nidwalden;CH_NW;1;CH_none_RE-NW;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Nidwalden__NA_NW_2;NA_NW_2;CH_NT-NR_1947;CH_NT-NR_1947__Nidwalden;CH_NW;2;;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Glarus__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Glarus;CH_GL;1;CH_SP|PS_RE-GL;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Glarus__Demokratische-und-Arbeiterpartei;Demokratische-und-Arbeiterpartei;CH_NT-NR_1947;CH_NT-NR_1947__Glarus;CH_GL;2;;2;;
CH_NT-NR_1947__CH_NT-NR_1947__Glarus__Allgemeine-buergerliche-Volkspartei;Allgemeine-buergerliche-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Glarus;CH_GL;3;;2;;
CH_NT-NR_1947__CH_NT-NR_1947__Zug__Konservative-Volks-und-Arbeiterpartei;Konservative-Volks-und-Arbeiterpartei;CH_NT-NR_1947;CH_NT-NR_1947__Zug;CH_ZG;1;CH_CVP|PDC_RE-ZG;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Zug__Freisinnig-demokratische-Partei;Freisinnig-demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Zug;CH_ZG;2;CH_FDP_RE-ZG;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Zug__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Zug;CH_ZG;3;CH_SP|PS_RE-ZG;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Fribourg__Liste-conservatrice-progressiste;Liste-conservatrice-progressiste;CH_NT-NR_1947;CH_NT-NR_1947__Fribourg;CH_FR;1;CH_CVP|PDC_RE-FR;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Fribourg__Liste-socialiste;Liste-socialiste;CH_NT-NR_1947;CH_NT-NR_1947__Fribourg;CH_FR;2;CH_SP|PS_RE-FR;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Fribourg__Liste-liberale-radicale-independante;Liste-liberale-radicale-independante;CH_NT-NR_1947;CH_NT-NR_1947__Fribourg;CH_FR;3;CH_FDP_RE-FR;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Fribourg__Liste-du-parti-paysan;Liste-du-parti-paysan;CH_NT-NR_1947;CH_NT-NR_1947__Fribourg;CH_FR;4;CH_SVP|UDC_RE-FR;2;;
CH_NT-NR_1947__CH_NT-NR_1947__Solothurn__Solothurnische-Volkspartei;Solothurnische-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Solothurn;CH_SO;1;CH_CVP|PDC_RE-SO;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Solothurn__Freisinnig-demokratische-Partei-und-Jungliberale-Bewegung;Freisinnig-demokratische-Partei-und-Jungliberale-Bewegung;CH_NT-NR_1947;CH_NT-NR_1947__Solothurn;CH_SO;2;CH_FDP_RE-SO;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Solothurn__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Solothurn;CH_SO;3;CH_SP|PS_RE-SO;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Solothurn__Landesring-der-Unabhaengigen;Landesring-der-Unabhaengigen;CH_NT-NR_1947;CH_NT-NR_1947__Solothurn;CH_SO;4;;3;;
CH_NT-NR_1947__CH_NT-NR_1947__Solothurn__Solothurnische-Bauern-Gewerbe-und-Buergerpartei;Solothurnische-Bauern-Gewerbe-und-Buergerpartei;CH_NT-NR_1947;CH_NT-NR_1947__Solothurn;CH_SO;5;;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Stadt__Partei-der-Arbeit;Partei-der-Arbeit;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Stadt;CH_BS;1;CH_PdA_RE-BS;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Stadt__Radikal-demokratische-Partei;Radikal-demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Stadt;CH_BS;2;CH_FDP_RE-BS;9;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Stadt__Liberale-Partei;Liberale-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Stadt;CH_BS;3;CH_LPS_RE-BS;8;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Stadt__Buerger-und-Gewerbe-Partei;Buerger-und-Gewerbe-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Stadt;CH_BS;4;;8;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Stadt__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Stadt;CH_BS;5;CH_SP|PS_RE-BS;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Stadt__Landesring-der-Unabhaengigen;Landesring-der-Unabhaengigen;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Stadt;CH_BS;6;CH_LdU|ADI_RE-BS;8;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Stadt__Katholische-Volkspartei;Katholische-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Stadt;CH_BS;7;CH_CVP|PDC_RE-BS;8;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Landschaft__Partei-der-Arbeit;Partei-der-Arbeit;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Landschaft;CH_BL;1;;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Landschaft__Demokratische-Partei;Demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Landschaft;CH_BL;2;CH_SVP|UDC_RE-BS;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Landschaft__Katholische-Volkspartei-und-Christlichsoziale-Vereinigung;Katholische-Volkspartei-und-Christlichsoziale-Vereinigung;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Landschaft;CH_BL;3;;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Landschaft__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Landschaft;CH_BL;4;CH_SP|PS_RE-BL;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Landschaft__Bauern-und-Buergerpartei;Bauern-und-Buergerpartei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Landschaft;CH_BL;5;CH_SVP|UDC_RE-BL;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Basel-Landschaft__Freisinnig-demokratische-Partei;Freisinnig-demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Landschaft;CH_BL;6;CH_FDP_RE-BL;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Schaffhausen__Liste-I-Liste-der-Bauernpartei;Liste-I-Liste-der-Bauernpartei;CH_NT-NR_1947;CH_NT-NR_1947__Schaffhausen;CH_SH;1;;2;;
CH_NT-NR_1947__CH_NT-NR_1947__Schaffhausen__Liste-der-Freisinnig-demokratischen-Partei;Liste-der-Freisinnig-demokratischen-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Schaffhausen;CH_SH;2;CH_FDP_RE-SH;2;;
CH_NT-NR_1947__CH_NT-NR_1947__Schaffhausen__Liste-der-Katholischen-Volkspartei;Liste-der-Katholischen-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Schaffhausen;CH_SH;3;;2;;
CH_NT-NR_1947__CH_NT-NR_1947__Schaffhausen__Liste-der-Sozialistischen-Arbeiterpartei;Liste-der-Sozialistischen-Arbeiterpartei;CH_NT-NR_1947;CH_NT-NR_1947__Schaffhausen;CH_SH;4;CH_RML|LMR_RE-SH;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Appenzell-A-RH__Liste-der-sozialdemokratischen-Partei;Liste-der-sozialdemokratischen-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Appenzell-A-RH;CH_AR;1;CH_SP|PS_RE-AR;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Appenzell-A-RH__Liste-der-freisinnig-demokratischen-Partei;Liste-der-freisinnig-demokratischen-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Appenzell-A-RH;CH_AR;2;CH_FDP_RE-AR;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Appenzell-I-Rh__NA_AI_1;NA_AI_1;CH_NT-NR_1947;CH_NT-NR_1947__Appenzell-I-RH;CH_AI;1;;1;;
CH_NT-NR_1947__CH_NT-NR_1947__St-Gallen__Liste-I-Freisinnig-demokratische-Partei-und-jungliberale-Bewegung;Liste-I-Freisinnig-demokratische-Partei-und-jungliberale-Bewegung;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_SG;1;CH_FDP_RE-SG;13;;
CH_NT-NR_1947__CH_NT-NR_1947__St-Gallen__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_SG;2;CH_SP|PS_RE-SG;13;;
CH_NT-NR_1947__CH_NT-NR_1947__St-Gallen__Partei-der-Arbeit;Partei-der-Arbeit;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_SG;3;;10;;
CH_NT-NR_1947__CH_NT-NR_1947__St-Gallen__Konservativ-christlichsoziale-Volkspartei;Konservativ-christlichsoziale-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_SG;4;CH_CVP|PDC_RE-SG;13;;
CH_NT-NR_1947__CH_NT-NR_1947__St-Gallen__Landesring-der-Unabhaengigen;Landesring-der-Unabhaengigen;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_SG;5;CH_LdU|ADI_RE-SG;13;;
CH_NT-NR_1947__CH_NT-NR_1947__St-Gallen__Demokratische-Partei;Demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_SG;6;;13;;
CH_NT-NR_1947__CH_NT-NR_1947__St-Gallen__Jungbauern-Freierwerbende-Arbeiter;Jungbauern-Freierwerbende-Arbeiter;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_SG;7;CH_SVP|UDC_RE-SG;11;;
CH_NT-NR_1947__CH_NT-NR_1947__Graubuenden__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Graubuenden;CH_GR;1;CH_SP|PS_RE-GR;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Graubuenden__Konservative-Volkspartei;Konservative-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Graubuenden;CH_GR;2;CH_CVP|PDC_RE-GR;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Graubuenden__Freisinnig-demokratische-Partei;Freisinnig-demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Graubuenden;CH_GR;3;CH_FDP_RE-GR;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Graubuenden__Demokratische-Partei;Demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Graubuenden;CH_GR;4;CH_DP_RE-GR;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Aargau__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Aargau;CH_AG;1;CH_SP|PS_RE-AG;11;;
CH_NT-NR_1947__CH_NT-NR_1947__Aargau__Freisinnig-demokratische-Volkspartei-und-Jungliberale-Bewegung;Freisinnig-demokratische-Volkspartei-und-Jungliberale-Bewegung;CH_NT-NR_1947;CH_NT-NR_1947__Aargau;CH_AG;2;CH_FDP_RE-AG;12;;
CH_NT-NR_1947__CH_NT-NR_1947__Aargau__Partei-der-Arbeit;Partei-der-Arbeit;CH_NT-NR_1947;CH_NT-NR_1947__Aargau;CH_AG;3;;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Aargau__Bauern-Gewerbe-und-Buergerpartei;Bauern-Gewerbe-und-Buergerpartei;CH_NT-NR_1947;CH_NT-NR_1947__Aargau;CH_AG;4;CH_SVP|UDC_RE-AG;12;;
CH_NT-NR_1947__CH_NT-NR_1947__Aargau__Katholisch-konservative-Volkspartei;Katholisch-konservative-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Aargau;CH_AG;5;CH_CVP|PDC_RE-GR;12;;
CH_NT-NR_1947__CH_NT-NR_1947__Aargau__Evangelische-Volkspartei;Evangelische-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Aargau;CH_AG;6;;12;;
CH_NT-NR_1947__CH_NT-NR_1947__Thurgau__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Thurgau;CH_TG;1;CH_SP|PS_RE-TG;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Thurgau__Freisinnig-demokratische-Partei;Freisinnig-demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Thurgau;CH_TG;2;CH_FDP_RE-TG;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Thurgau__Bauernpartei;Bauernpartei;CH_NT-NR_1947;CH_NT-NR_1947__Thurgau;CH_TG;3;CH_SVP|UDC_RE-TG;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Thurgau__Katholische-Volkspartei;Katholische-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Thurgau;CH_TG;4;CH_CVP|PDC_RE-TG;5;;
CH_NT-NR_1947__CH_NT-NR_1947__Thurgau__Partei-der-Christlichsozialen;Partei-der-Christlichsozialen;CH_NT-NR_1947;CH_NT-NR_1947__Thurgau;CH_TG;5;;5;;
CH_NT-NR_1947__CH_NT-NR_1947__Ticino__Usta-del-partito-socialiste;Usta-del-partito-socialiste;CH_NT-NR_1947;CH_NT-NR_1947__Ticino;CH_TI;1;CH_SP|PS_RE-TI;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Ticino__Lista-del-gruppo-conservatore-democratico;Lista-del-gruppo-conservatore-democratico;CH_NT-NR_1947;CH_NT-NR_1947__Ticino;CH_TI;2;;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Ticino__Lista-del-partito-operaio-e-contadino-ticinese;Lista-del-partito-operaio-e-contadino-ticinese;CH_NT-NR_1947;CH_NT-NR_1947__Ticino;CH_TI;3;;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Ticino__Lista-del-gruppo-liberale-radicale;Lista-del-gruppo-liberale-radicale;CH_NT-NR_1947;CH_NT-NR_1947__Ticino;CH_TI;4;CH_FDP_RE-TI;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Ticino__Lista-del-gruppo-agrario-popolare-ticinese;Lista-del-gruppo-agrario-popolare-ticinese;CH_NT-NR_1947;CH_NT-NR_1947__Ticino;CH_TI;5;;2;;
CH_NT-NR_1947__CH_NT-NR_1947__Vaud__Liste-du-parti-ouvrier-et-populaire;Liste-du-parti-ouvrier-et-populaire;CH_NT-NR_1947;CH_NT-NR_1947__Vaud;CH_VD;1;CH_PdA_RE-VD;16;;
CH_NT-NR_1947__CH_NT-NR_1947__Vaud__Liste-du-parti-radical-democratique;Liste-du-parti-radical-democratique;CH_NT-NR_1947;CH_NT-NR_1947__Vaud;CH_VD;2;CH_FDP_RE-VD;16;;
CH_NT-NR_1947__CH_NT-NR_1947__Vaud__Liste-du-parti-liberal-democratique;Liste-du-parti-liberal-democratique;CH_NT-NR_1947;CH_NT-NR_1947__Vaud;CH_VD;3;CH_LPS_RE-VD;16;;
CH_NT-NR_1947__CH_NT-NR_1947__Vaud__Liste-du-parti-socialiste-vaudois;Liste-du-parti-socialiste-vaudois;CH_NT-NR_1947;CH_NT-NR_1947__Vaud;CH_VD;4;CH_SP|PS_RE-VD;16;;
CH_NT-NR_1947__CH_NT-NR_1947__Vaud__Liste-dentente-nationale-paysanne-et-classes-moyennes;Liste-du-parti-socialiste-vaudois;CH_NT-NR_1947;CH_NT-NR_1947__Vaud;CH_VD;5;CH_SVP|UDC_RE-VD;16;;
CH_NT-NR_1947__CH_NT-NR_1947__Valais__Parti-socialiste;Parti-socialiste;CH_NT-NR_1947;CH_NT-NR_1947__Valais;CH_VS;1;CH_SP|PS_RE-VS;5;;
CH_NT-NR_1947__CH_NT-NR_1947__Valais__Parti-radical-democratique;Parti-radical-democratique;CH_NT-NR_1947;CH_NT-NR_1947__Valais;CH_VS;2;CH_FDP_RE-VS;5;;
CH_NT-NR_1947__CH_NT-NR_1947__Valais__Parti-conservateur;Parti-conservateur;CH_NT-NR_1947;CH_NT-NR_1947__Valais;CH_VS;3;CH_CVP|PDC_RE-VS;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Valais__Parti-populaire-catholique;Parti-populaire-catholique;CH_NT-NR_1947;CH_NT-NR_1947__Valais;CH_VS;4;CH_CVP|PDC_RE-VS;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Valais__Parti-ouvrier-et-paysan;Parti-ouvrier-et-paysan;CH_NT-NR_1947;CH_NT-NR_1947__Valais;CH_VS;5;;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Neuchatal__Liste-du-parti-radical;Liste-du-parti-radical;CH_NT-NR_1947;CH_NT-NR_1947__Neuchatal;CH_NE;1;CH_FDP_RE-NE;5;;
CH_NT-NR_1947__CH_NT-NR_1947__Neuchatal__Liste-du-parti-liberal;Liste-du-parti-liberal;CH_NT-NR_1947;CH_NT-NR_1947__Neuchatal;CH_NE;2;CH_LPS_RE-NE;5;;
CH_NT-NR_1947__CH_NT-NR_1947__Neuchatal__Liste-du-parti-socialiste;Liste-du-parti-socialiste;CH_NT-NR_1947;CH_NT-NR_1947__Neuchatal;CH_NE;3;CH_SP|PS_RE-NE;3;;
CH_NT-NR_1947__CH_NT-NR_1947__Neuchatal__Liste-du-parti-ouvrier-et-populaire;Liste-du-parti-ouvrier-et-populaire;CH_NT-NR_1947;CH_NT-NR_1947__Neuchatal;CH_NE;4;;2;;
CH_NT-NR_1947__CH_NT-NR_1947__Geneve__Parti-national-democratique;Parti-national-democratique;CH_NT-NR_1947;CH_NT-NR_1947__Geneve;CH_GE;1;CH_LPS_RE-GE;4;;
CH_NT-NR_1947__CH_NT-NR_1947__Geneve__Parti-socialiste;Parti-socialiste;CH_NT-NR_1947;CH_NT-NR_1947__Geneve;CH_GE;2;CH_SP|PS_RE-GE;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Geneve__Parti-radical;Parti-radical;CH_NT-NR_1947;CH_NT-NR_1947__Geneve;CH_GE;3;CH_FDP_RE-GE;5;;
CH_NT-NR_1947__CH_NT-NR_1947__Geneve__Parti-independant-chretien-social;Parti-independant-chretien-social;CH_NT-NR_1947;CH_NT-NR_1947__Geneve;CH_GE;4;CH_CVP|PDC_RE-GE;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Geneve__Parti-republicain-pour-les-Etats-Unis-dEurope;Parti-republicain-pour-les-Etats-Unis-dEurope;CH_NT-NR_1947;CH_NT-NR_1947__Geneve;CH_GE;5;;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Geneve__Parti-du-travail;Parti-du-travail;CH_NT-NR_1947;CH_NT-NR_1947__Geneve;CH_GE;6;CH_PdA_RE-GE;6;;
CH_NT-NR_1951__CH_NT-NR_1951__Zuerich__Sozialdemokratische-Gewerkschaftliche-Liste;Sozialdemokratische-Gewerkschaftliche-Liste;CH_NT-NR_1951;CH_NT-NR_1951__Zuerich;CH_ZH;1;CH_SP|PS_RE-ZH;32;;
CH_NT-NR_1951__CH_NT-NR_1951__Zuerich__Vereinigte-Liberalsozialistische-Partei-Fortschrittliche-Buerger;Vereinigte-Liberalsozialistische-Partei-Fortschrittliche-Buerger;CH_NT-NR_1951;CH_NT-NR_1951__Zuerich;CH_ZH;2;CH_LSP_RE-ZH;26;;
CH_NT-NR_1951__CH_NT-NR_1951__Zuerich__Evangelischen-Volkspartei;Evangelischen-Volkspartei;CH_NT-NR_1951;CH_NT-NR_1951__Zuerich;CH_ZH;3;CH_EVP|PEP_RE-ZH;31;;
CH_NT-NR_1951__CH_NT-NR_1951__Zuerich__Demokratische-Partei;Demokratische-Partei;CH_NT-NR_1951;CH_NT-NR_1951__Zuerich;CH_ZH;4;CH_DP_RE-ZH;32;;
CH_NT-NR_1951__CH_NT-NR_1951__Zuerich__Partei-der-Arbeit;Partei-der-Arbeit;CH_NT-NR_1951;CH_NT-NR_1951__Zuerich;CH_ZH;5;CH_PdA_RE-ZH;31;;
